order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,line_source,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,global_seq,line_seq,campaign_seq,line_name,campaign_real_seq
0030084442-000090#M291,0030084442-000090,HC340/590DP,DP,1764.0,1.8,840.0,25.5,60.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1958.5,False,1,,,,,False,False,False,False,False,False,1,1,1,大辊线,1
0030085385-000020#M172,0030085385-000020,T280VK,DP,1753.0,1.2,840.0,25.5,120.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,2,1958.5,False,2,,,,,False,False,False,False,False,False,2,2,1,大辊线,1
0030086469-000010#M17,0030086469-000010,HC180Y,BH,1732.0,0.8,835.0,25.5,88.0,2025-10-25,大辊,big_only,3.0,835.0,835.0,big_roll,2025-10-25,big_only,3,1958.5,False,3,,,,,False,False,False,False,False,False,3,3,1,大辊线,1
0030084081-000030#M381,0030084081-000030,DC05,IF,1720.0,0.65,835.0,25.5,76.66,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,big_only,4,1958.5,False,4,,,,,False,False,False,False,False,False,4,4,1,大辊线,1
0020050205-000090#M304,0020050205-000090,DC01,PC,1700.0,1.0,810.0,25.5,125.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,5,1958.5,False,5,,,,,False,False,False,False,False,False,5,5,1,大辊线,1
0030082156-000230#M659,0030082156-000230,HC340/590DP,DP,1565.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1958.5,False,6,,,,,False,False,False,False,False,False,6,6,1,大辊线,1
0030084781-000010#M230,0030084781-000010,HC340/590DP,DP,1584.0,1.2,840.0,24.0,104.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1958.5,False,7,1565.0,1.2,DP,-19.0,True,False,False,False,False,False,7,7,2,大辊线,2
0030084068-000010#M391,0030084068-000010,DC04,IF,1614.0,1.75,830.0,24.0,312.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,big_only,7,1958.5,False,8,,,,,False,False,False,False,False,False,8,8,1,大辊线,1
0020050205-000030#M302,0020050205-000030,DC01,PC,1600.0,0.8,810.0,24.0,125.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,8,1958.5,False,9,,,,,False,False,False,False,False,False,9,9,1,大辊线,1
0030084038-000040#M365,0030084038-000040,DC01,PC,1574.0,0.75,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,8,1958.5,False,10,1600.0,0.8,PC,26.0,False,False,False,False,False,False,10,10,2,大辊线,2
0020050205-000060#M301,0020050205-000060,DC01,PC,1596.0,0.95,810.0,24.0,150.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,8,1958.5,False,11,1574.0,0.75,PC,-22.0,True,False,False,False,False,False,11,11,3,大辊线,3
0030085350-000080#M85,0030085350-000080,DC05,IF,1599.0,0.7,835.0,24.0,104.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,big_only,9,1958.5,False,12,,,,,False,False,False,False,False,False,12,12,1,大辊线,1
0030085350-000130#M106,0030085350-000130,HC180Y,BH,1582.0,0.7,835.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,835.0,835.0,big_roll,2025-10-31,big_only,10,1958.5,False,13,,,,,False,False,False,False,False,False,13,13,1,大辊线,1
0030085323-000050#M78,0030085323-000050,DC04,IF,1543.0,0.8,830.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,big_only,11,1958.5,False,14,,,,,False,False,False,False,False,False,14,14,1,大辊线,1
0030084050-000020#M374,0030084050-000020,DC04,IF,1550.0,0.7,830.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,big_only,11,1958.5,False,15,1543.0,0.8,IF,-7.0,True,False,False,False,False,False,15,15,2,大辊线,2
0030083118-000080#M564,0030083118-000080,DC05,IF,1500.0,0.81,835.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,big_only,11,1958.5,False,16,1550.0,0.7,IF,50.0,False,False,False,False,False,False,16,16,3,大辊线,3
0030085176-000010#M110,0030085176-000010,HC180Y,BH,1440.0,0.7,835.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,835.0,835.0,big_roll,2025-10-31,big_only,12,1958.5,False,17,,,,,False,False,False,False,False,False,17,17,1,大辊线,1
0030085350-000120#M115,0030085350-000120,HC180Y,BH,1422.0,0.7,835.0,24.0,104.0,2025-10-31,大辊,big_only,3.0,835.0,835.0,big_roll,2025-10-31,big_only,12,1958.5,False,18,1440.0,0.7,BH,18.0,False,False,False,False,False,False,18,18,2,大辊线,2
0030084081-000050#M358,0030084081-000050,HC340/590DP,DP,1437.0,0.8,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,13,1958.5,False,19,,,,,False,False,False,False,False,False,19,19,1,大辊线,1
0030084505-000050#M249,0030084505-000050,T280VK,DP,1442.0,0.7,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,13,1958.5,False,20,1437.0,0.8,DP,-5.0,True,False,False,False,False,False,20,20,2,大辊线,2
0030082156-000080#M656,0030082156-000080,HC340/590DP,DP,1450.0,1.0,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,14,1958.5,False,21,,,,,False,False,False,False,False,False,21,21,1,大辊线,1
0020049276-000020#M616,0020049276-000020,SPCC,PC,1500.0,1.43,805.0,24.0,105.44,2025-10-31,大辊/小辊,dual,1.0,805.0,805.0,big_roll,2025-10-31,dual,15,1958.5,False,22,,,,,False,False,False,False,False,False,22,22,1,大辊线,1
0030082943-000020#M591,0030082943-000020,DC05,IF,1500.0,1.45,835.0,24.0,78.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,big_only,16,1958.5,False,23,,,,,False,False,False,False,False,False,23,23,1,大辊线,1
0030084050-000160#M340,0030084050-000160,DC04,IF,1500.0,2.0,830.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,big_only,17,1958.5,False,24,,,,,False,False,False,False,False,False,24,24,1,大辊线,1
